GameID,Turn,Player,Action,Target,Success,Challenged,Blocked
1,0,0,Tax,-,No,Yes,No
1,1,1,Steal,0,Yes,No,No
1,2,0,Tax,-,No,Yes,No
0,0,0,Tax,-,No,Yes,No
0,1,1,Tax,-,Yes,No,No
0,2,0,Income,-,Yes,No,No
0,3,1,Tax,-,Yes,No,No
0,4,0,Tax,-,No,Yes,No
4,0,0,Steal,1,No,Yes,No
4,1,1,Steal,0,Yes,No,No
4,2,0,Income,-,Yes,No,No
4,3,1,Steal,0,Yes,No,No
4,4,0,Foreign Aid,-,Yes,No,No
4,5,1,Steal,0,Yes,No,No
4,6,0,Exchange,-,Yes,No,No
4,7,1,Assassinate,0,Yes,No,No
3,0,0,Tax,-,Yes,No,No
3,1,1,Foreign Aid,-,Yes,No,No
3,2,0,Steal,1,No,Yes,1
3,3,1,Tax,-,Yes,No,No
3,4,0,Income,-,Yes,No,No
3,5,1,Tax,-,No,Yes,No
2,0,0,Tax,-,No,Yes,No
2,1,1,Steal,0,Yes,No,No
2,2,0,Tax,-,No,Yes,No
6,0,0,Steal,1,No,Yes,No
6,1,1,Steal,0,Yes,No,No
6,2,0,Income,-,Yes,No,No
6,3,1,Steal,0,Yes,No,No
6,4,0,Foreign Aid,-,Yes,No,No
6,5,1,Steal,0,Yes,No,No
6,6,0,Exchange,-,Yes,No,No
6,7,1,Assassinate,0,Yes,No,No
7,0,0,Income,-,Yes,No,No
7,1,1,Tax,-,Yes,No,No
7,2,0,Exchange,-,No,Yes,No
7,3,1,Foreign Aid,-,Yes,No,No
7,4,0,Income,-,Yes,No,No
7,5,1,Assassinate,0,No,No,0
7,6,0,Exchange,-,Yes,No,No
7,7,1,Foreign Aid,-,No,No,0
7,8,0,Tax,-,Yes,No,No
7,9,1,Exchange,-,Yes,Yes,No
9,0,0,Steal,1,No,No,1
9,1,1,Foreign Aid,-,Yes,No,No
10,0,0,Income,-,Yes,No,No
10,1,1,Income,-,Yes,No,No
10,2,0,Steal,1,Yes,No,No
10,3,1,Tax,-,No,Yes,No
11,0,0,Income,-,Yes,No,No
11,1,1,Income,-,Yes,No,No
11,2,0,Steal,1,Yes,No,No
11,3,1,Tax,-,No,Yes,No
5,0,0,Income,-,Yes,No,No
5,1,1,Foreign Aid,-,No,No,0
5,2,0,Income,-,Yes,No,No
5,3,1,Income,-,Yes,No,No
5,4,0,Steal,1,No,No,1
5,5,1,Assassinate,0,No,Yes,No
5,6,0,Assassinate,1,No,No,1
5,7,1,Exchange,-,No,Yes,No
12,0,0,Steal,1,No,No,1
12,1,1,Foreign Aid,-,Yes,No,No
8,0,0,Steal,1,No,No,1
8,1,1,Foreign Aid,-,Yes,No,No
13,0,0,Exchange,-,No,Yes,No
13,1,1,Foreign Aid,-,Yes,No,No
13,2,0,Income,-,Yes,No,No
13,3,1,Income,-,Yes,No,No
13,4,0,Assassinate,1,No,No,1
13,5,1,Income,-,Yes,No,No
13,6,0,Steal,1,No,No,1
13,7,1,Assassinate,0,No,No,0
13,8,0,Steal,1,No,No,1
13,9,1,Income,-,Yes,No,No
13,10,0,Exchange,-,Yes,No,No
13,11,1,Exchange,-,No,Yes,No
13,12,0,Exchange,-,Yes,No,No
13,13,1,Assassinate,0,No,Yes,No
14,0,0,Foreign Aid,-,Yes,No,No
14,1,1,Tax,-,No,Yes,No
14,2,0,Tax,-,Yes,No,No
14,3,1,Foreign Aid,-,No,No,0
14,4,0,Tax,-,Yes,No,No
14,5,1,Exchange,-,No,Yes,No
16,0,0,Exchange,-,No,Yes,No
16,1,1,Foreign Aid,-,No,No,0
16,2,0,Tax,-,Yes,No,No
16,3,1,Income,-,Yes,No,No
16,4,0,Assassinate,1,Yes,No,No
22,0,0,Exchange,-,No,Yes,No
22,1,1,Income,-,Yes,No,No
22,2,0,Exchange,-,No,Yes,No
19,0,0,Foreign Aid,-,No,No,1
19,1,1,Income,-,Yes,No,No
19,2,0,Income,-,Yes,No,No
19,3,1,Exchange,-,Yes,No,No
19,4,0,Steal,1,No,Yes,No
15,0,0,Exchange,-,Yes,No,No
15,1,1,Income,-,Yes,No,No
15,2,0,Tax,-,Yes,No,No
15,3,1,Steal,0,Yes,Yes,No
15,4,0,Tax,-,Yes,No,No
15,5,1,Steal,0,Yes,No,No
15,6,0,Tax,-,No,Yes,No
21,0,0,Exchange,-,No,Yes,No
21,1,1,Income,-,Yes,No,No
21,2,0,Exchange,-,No,Yes,No
20,0,0,Foreign Aid,-,No,No,1
20,1,1,Income,-,Yes,No,No
20,2,0,Income,-,Yes,No,No
20,3,1,Exchange,-,Yes,No,No
20,4,0,Steal,1,No,Yes,No
17,0,0,Exchange,-,No,Yes,No
17,1,1,Foreign Aid,-,No,No,0
17,2,0,Tax,-,Yes,No,No
17,3,1,Income,-,Yes,No,No
17,4,0,Assassinate,1,Yes,No,No
23,0,0,Tax,-,Yes,No,No
23,1,1,Steal,0,Yes,No,No
23,2,0,Income,-,Yes,No,No
23,3,1,Steal,0,Yes,No,No
23,4,0,Foreign Aid,-,Yes,No,No
23,5,1,Steal,0,Yes,No,No
23,6,0,Tax,-,Yes,No,No
23,7,1,Steal,0,No,Yes,No
23,8,0,Steal,1,No,No,1
23,9,1,Assassinate,0,Yes,No,No
18,0,0,Income,-,Yes,No,No
18,1,1,Income,-,Yes,No,No
18,2,0,Foreign Aid,-,Yes,No,No
18,3,1,Assassinate,0,Yes,No,No
18,4,0,Assassinate,1,Yes,No,No
18,5,1,Income,-,Yes,No,No
18,6,0,Steal,1,Yes,No,No
18,7,1,Foreign Aid,-,No,No,0
18,8,0,Exchange,-,Yes,No,No
18,9,1,Income,-,Yes,No,No
18,10,0,Assassinate,1,No,No,1
18,11,1,Foreign Aid,-,No,No,0
26,0,0,Exchange,-,No,Yes,No
26,1,1,Exchange,-,Yes,No,No
26,2,0,Foreign Aid,-,No,No,1
25,0,0,Tax,-,Yes,No,No
25,1,1,Income,-,Yes,No,No
25,2,0,Assassinate,1,No,No,1
25,3,1,Exchange,-,No,Yes,No
25,4,0,Tax,-,Yes,No,No
25,5,1,Tax,-,Yes,No,No
25,6,0,Tax,-,No,Yes,No
24,0,0,Foreign Aid,-,Yes,No,No
24,1,1,Income,-,Yes,No,No
24,2,0,Tax,-,Yes,No,No
24,3,1,Income,-,Yes,No,No
24,4,0,Exchange,-,Yes,No,No
24,5,1,Foreign Aid,-,No,No,0
24,6,0,Assassinate,1,No,Yes,No
24,7,1,Exchange,-,Yes,No,No
24,8,0,Steal,1,Yes,No,No
24,9,1,Income,-,Yes,No,No
24,10,0,Steal,1,No,Yes,No
24,11,1,Income,-,Yes,No,No
24,12,0,Foreign Aid,-,Yes,No,No
24,13,1,Tax,-,No,Yes,No
27,0,0,Income,-,Yes,No,No
27,1,1,Exchange,-,Yes,No,No
27,2,0,Exchange,-,Yes,No,No
27,3,1,Tax,-,Yes,No,No
27,4,0,Steal,1,No,Yes,No
27,5,1,Tax,-,Yes,No,No
27,6,0,Foreign Aid,-,Yes,No,No
27,7,1,Coup,0,Yes,No,No
28,0,0,Exchange,-,No,Yes,No
28,1,1,Exchange,-,Yes,No,No
28,2,0,Foreign Aid,-,No,No,1
29,0,0,Tax,-,Yes,No,No
29,1,1,Income,-,Yes,No,No
29,2,0,Assassinate,1,No,No,1
29,3,1,Exchange,-,No,Yes,No
29,4,0,Tax,-,Yes,No,No
29,5,1,Tax,-,Yes,No,No
29,6,0,Tax,-,No,Yes,No
30,0,0,Income,-,Yes,No,No
30,1,1,Exchange,-,Yes,No,No
30,2,0,Exchange,-,Yes,No,No
30,3,1,Tax,-,Yes,No,No
30,4,0,Steal,1,No,Yes,No
30,5,1,Tax,-,Yes,No,No
30,6,0,Foreign Aid,-,Yes,No,No
30,7,1,Coup,0,Yes,No,No
31,0,0,Income,-,Yes,No,No
31,1,1,Exchange,-,Yes,No,No
31,2,0,Exchange,-,Yes,No,No
31,3,1,Tax,-,Yes,No,No
31,4,0,Steal,1,No,Yes,No
31,5,1,Tax,-,Yes,No,No
31,6,0,Foreign Aid,-,Yes,No,No
31,7,1,Coup,0,Yes,No,No
32,0,0,Exchange,-,Yes,Yes,No
32,1,1,Income,-,Yes,No,No
32,2,0,Foreign Aid,-,No,No,1
32,3,1,Foreign Aid,-,No,No,0
32,4,0,Exchange,-,Yes,No,No
32,5,1,Tax,-,Yes,Yes,No
32,6,0,Exchange,-,Yes,Yes,No
32,7,1,Income,-,Yes,No,No
32,8,0,Exchange,-,Yes,No,No
32,9,1,Tax,-,No,Yes,No
34,0,0,Steal,1,No,No,1
34,1,1,Tax,-,No,Yes,No
34,2,0,Exchange,-,Yes,No,No
34,3,1,Foreign Aid,-,No,No,0
34,4,0,Steal,1,Yes,No,No
34,5,1,Tax,-,Yes,No,No
34,6,0,Steal,1,No,No,1
34,7,1,Tax,-,No,Yes,No
33,0,0,Steal,1,No,No,1
33,1,1,Tax,-,No,Yes,No
33,2,0,Exchange,-,Yes,No,No
33,3,1,Foreign Aid,-,No,No,0
33,4,0,Steal,1,Yes,No,No
33,5,1,Tax,-,Yes,No,No
33,6,0,Steal,1,No,No,1
33,7,1,Tax,-,No,Yes,No
38,0,0,Steal,1,No,No,1
38,1,1,Tax,-,No,Yes,No
38,2,0,Exchange,-,Yes,No,No
38,3,1,Foreign Aid,-,No,No,0
38,4,0,Steal,1,Yes,No,No
38,5,1,Tax,-,Yes,No,No
38,6,0,Steal,1,No,No,1
38,7,1,Tax,-,No,Yes,No
35,0,0,Steal,1,No,Yes,No
35,1,1,Steal,0,No,Yes,No
35,2,0,Tax,-,Yes,No,No
35,3,1,Income,-,Yes,No,No
35,4,0,Tax,-,Yes,No,No
35,5,1,Foreign Aid,-,No,No,0
35,6,0,Tax,-,Yes,No,No
35,7,1,Assassinate,0,No,Yes,No
39,0,0,Income,-,Yes,No,No
