GameID,PlayerCount,Winner,WinnerCharacters,TotalTurns,Date
1,2,1,"Captain,Duke",2,2026-02-13T22:10:55-08:00
0,2,1,"Contessa,Captain",4,2026-02-13T22:10:55-08:00
4,2,1,"Assassin,Contessa",7,2026-02-13T22:10:55-08:00
3,2,0,"Ambassador,Captain,Captain",5,2026-02-13T22:10:55-08:00
2,2,1,"Captain,Duke",2,2026-02-13T22:10:55-08:00
6,2,1,"Assassin,Contessa",7,2026-02-13T22:10:55-08:00
7,2,1,"Assassin,Ambassador,Ambassador",9,2026-02-13T22:10:55-08:00
9,2,1,"Ambassador,Assassin,Assassin",1,2026-02-13T22:10:55-08:00
10,2,0,"Captain,Ambassador",3,2026-02-13T22:10:55-08:00
11,2,0,"Captain,Ambassador",3,2026-02-13T22:10:55-08:00
5,2,0,"Contessa,Duke",7,2026-02-13T22:10:55-08:00
12,2,1,"Ambassador,Assassin,Assassin",1,2026-02-13T22:10:55-08:00
8,2,1,"Ambassador,Assassin,Assassin",1,2026-02-13T22:10:55-08:00
13,2,0,Assassin,13,2026-02-13T22:10:55-08:00
14,2,0,"Duke,Duke",5,2026-02-13T22:10:55-08:00
16,2,0,Assassin,4,2026-02-13T22:10:55-08:00
22,2,1,"Assassin,Captain",2,2026-02-13T22:10:55-08:00
19,2,0,"Captain,Assassin,Ambassador",4,2026-02-13T22:10:55-08:00
15,2,1,"Contessa,Captain,Assassin",6,2026-02-13T22:10:55-08:00
21,2,1,"Assassin,Captain",2,2026-02-13T22:10:55-08:00
20,2,0,"Captain,Assassin,Ambassador",4,2026-02-13T22:10:55-08:00
17,2,0,Assassin,4,2026-02-13T22:10:55-08:00
23,2,1,"Ambassador,Contessa",9,2026-02-13T22:10:55-08:00
18,2,0,"Duke,Captain",11,2026-02-13T22:10:55-08:00
26,2,1,"Duke,Assassin,Captain",2,2026-02-13T22:10:55-08:00
25,2,1,"Duke,Assassin",6,2026-02-13T22:10:55-08:00
24,2,0,Ambassador,13,2026-02-13T22:10:55-08:00
27,2,1,"Ambassador,Captain",7,2026-02-13T22:10:55-08:00
28,2,1,"Duke,Assassin,Captain",2,2026-02-13T22:10:55-08:00
29,2,1,"Duke,Assassin",6,2026-02-13T22:10:55-08:00
30,2,1,"Ambassador,Captain",7,2026-02-13T22:10:55-08:00
31,2,1,"Ambassador,Captain",7,2026-02-13T22:10:55-08:00
32,2,0,"Ambassador,Ambassador,Duke",9,2026-02-13T22:10:55-08:00
34,2,0,"Captain,Assassin",7,2026-02-13T22:10:55-08:00
33,2,0,"Captain,Assassin",7,2026-02-13T22:10:55-08:00
38,2,0,"Captain,Assassin",7,2026-02-13T22:10:55-08:00
35,2,0,Assassin,7,2026-02-13T22:10:55-08:00
39,2,0,"Duke,Ambassador,Contessa",8,2026-02-13T22:10:55-08:00
36,2,0,"Ambassador,Ambassador,Duke",9,2026-02-13T22:10:55-08:00
37,2,0,"Captain,Assassin",7,2026-02-13T22:10:55-08:00
44,2,1,"Assassin,Captain,Captain",5,2026-02-13T22:10:55-08:00
43,2,0,"Duke,Assassin",5,2026-02-13T22:10:55-08:00
45,2,0,Contessa,4,2026-02-13T22:10:55-08:00
