PlayerCount,Character,DealtWinRate,AvgGameLength
2,Ambassador,54.61%,4.41
2,Assassin,45.37%,4.41
2,Captain,53.73%,4.41
2,Contessa,41.71%,4.41
2,Duke,56.25%,4.41
3,Ambassador,37.64%,6.46
3,Assassin,29.49%,6.46
3,Captain,37.44%,6.46
3,Contessa,25.73%,6.46
3,Duke,37.89%,6.46
4,Ambassador,28.97%,8.18
4,Assassin,21.67%,8.18
4,Captain,29.48%,8.18
4,Contessa,17.96%,8.18
4,Duke,28.37%,8.18
5,Ambassador,23.93%,9.90
5,Assassin,17.15%,9.90
5,Captain,24.18%,9.90
5,Contessa,13.55%,9.90
5,Duke,22.42%,9.90
6,Ambassador,20.86%,11.62
6,Assassin,14.15%,11.62
6,Captain,20.55%,11.62
6,Contessa,10.54%,11.62
6,Duke,18.50%,11.62
