PlayerCount,Character,DealtWinRate,AvgGameLength
2,Ambassador,52.05%,8.27
2,Assassin,46.52%,8.27
2,Captain,52.00%,8.27
2,Contessa,47.41%,8.27
2,Duke,54.31%,8.27
3,Ambassador,33.90%,12.12
3,Assassin,30.37%,12.12
3,Captain,36.45%,12.12
3,Contessa,30.58%,12.12
3,Duke,37.14%,12.12
4,Ambassador,25.25%,15.01
4,Assassin,22.69%,15.01
4,Captain,28.45%,15.01
4,Contessa,22.28%,15.01
4,Duke,27.63%,15.01
5,Ambassador,20.02%,17.63
5,Assassin,17.82%,17.63
5,Captain,23.97%,17.63
5,Contessa,17.09%,17.63
5,Duke,22.21%,17.63
6,Ambassador,16.43%,19.87
6,Assassin,14.82%,19.87
6,Captain,20.77%,19.87
6,Contessa,14.08%,19.87
6,Duke,18.38%,19.87
