PlayerCount,Character,DealtWinRate,AvgGameLength
2,Ambassador,52.46%,5.33
2,Assassin,45.05%,5.33
2,Captain,53.49%,5.33
2,Contessa,43.59%,5.33
2,Duke,57.42%,5.33
3,Ambassador,35.00%,7.71
3,Assassin,28.91%,7.71
3,Captain,38.04%,7.71
3,Contessa,27.36%,7.71
3,Duke,39.03%,7.71
4,Ambassador,25.95%,9.63
4,Assassin,21.63%,9.63
4,Captain,30.21%,9.63
4,Contessa,19.01%,9.63
4,Duke,29.55%,9.63
5,Ambassador,20.91%,11.41
5,Assassin,17.07%,11.41
5,Captain,25.37%,11.41
5,Contessa,14.28%,11.41
5,Duke,23.52%,11.41
6,Ambassador,17.24%,13.13
6,Assassin,14.27%,13.13
6,Captain,22.20%,13.13
6,Contessa,10.91%,13.13
6,Duke,19.71%,13.13
