PlayerCount,Character,DealtWinRate,AvgGameLength
2,Ambassador,52.80%,5.92
2,Assassin,45.25%,5.92
2,Captain,53.32%,5.92
2,Contessa,44.63%,5.92
2,Duke,56.00%,5.92
3,Ambassador,35.49%,8.55
3,Assassin,29.35%,8.55
3,Captain,37.32%,8.55
3,Contessa,27.51%,8.55
3,Duke,38.44%,8.55
4,Ambassador,26.90%,10.65
4,Assassin,21.67%,10.65
4,Captain,29.09%,10.65
4,Contessa,19.69%,10.65
4,Duke,29.02%,10.65
5,Ambassador,21.49%,12.61
5,Assassin,17.49%,12.61
5,Captain,24.32%,12.61
5,Contessa,15.00%,12.61
5,Duke,22.77%,12.61
6,Ambassador,18.32%,14.44
6,Assassin,14.40%,14.44
6,Captain,21.13%,14.44
6,Contessa,11.69%,14.44
6,Duke,18.96%,14.44
