PlayerCount,Character,DealtWinRate,AvgGameLength
2,Ambassador,54.07%,5.56
2,Assassin,44.43%,5.56
2,Captain,53.58%,5.56
2,Contessa,43.00%,5.56
2,Duke,57.31%,5.56
3,Ambassador,35.55%,7.87
3,Assassin,27.75%,7.87
3,Captain,39.62%,7.87
3,Contessa,26.75%,7.87
3,Duke,38.86%,7.87
4,Ambassador,26.36%,9.84
4,Assassin,20.35%,9.84
4,Captain,32.67%,9.84
4,Contessa,18.87%,9.84
4,Duke,28.28%,9.84
5,Ambassador,20.61%,11.70
5,Assassin,15.78%,11.70
5,Captain,27.90%,11.70
5,Contessa,14.64%,11.70
5,Duke,22.24%,11.70
6,Ambassador,17.04%,13.50
6,Assassin,12.79%,13.50
6,Captain,24.72%,13.50
6,Contessa,11.61%,13.50
6,Duke,18.27%,13.50
