PlayerCount,Character,DealtWinRate,AvgGameLength
2,Ambassador,52.92%,5.91
2,Assassin,45.43%,5.91
2,Captain,53.32%,5.91
2,Contessa,44.36%,5.91
2,Duke,55.90%,5.91
3,Ambassador,35.39%,8.56
3,Assassin,29.60%,8.56
3,Captain,37.16%,8.56
3,Contessa,27.71%,8.56
3,Duke,38.30%,8.56
4,Ambassador,26.78%,10.69
4,Assassin,21.98%,10.69
4,Captain,29.30%,10.69
4,Contessa,19.53%,10.69
4,Duke,28.77%,10.69
5,Ambassador,21.60%,12.60
5,Assassin,17.41%,12.60
5,Captain,24.48%,12.60
5,Contessa,14.92%,12.60
5,Duke,22.85%,12.60
6,Ambassador,18.17%,14.42
6,Assassin,14.40%,14.42
6,Captain,21.25%,14.42
6,Contessa,11.61%,14.42
6,Duke,19.02%,14.42
